booking_ID,customer_ID,flight_ID,booking_date_time,payment_status,price,seat_number,cust_checked_in,cust_boarded
1,56,15,08/12/2023 21:33,FALSE,1449.03,19C,TRUE,FALSE
2,8,32,05/12/2023 23:02,FALSE,501.91,12A,FALSE,TRUE
3,42,35,11/12/2023 18:26,TRUE,627.84,5C,FALSE,FALSE
4,67,13,05/12/2023 04:52,FALSE,381.91,28A,FALSE,TRUE
5,61,15,14/12/2023 16:55,FALSE,1268.95,20A,TRUE,TRUE
6,44,3,07/12/2023 17:25,TRUE,856.89,19D,TRUE,FALSE
7,84,11,12/12/2023 13:12,FALSE,226.3,23A,FALSE,TRUE
8,90,38,25/12/2023 01:46,FALSE,1242.91,18C,FALSE,FALSE
9,35,34,16/12/2023 15:01,FALSE,997.33,17B,FALSE,FALSE
10,54,34,24/12/2023 22:45,TRUE,1303.75,29B,TRUE,TRUE
11,100,34,08/12/2023 12:51,FALSE,827.96,30D,TRUE,FALSE
12,37,25,14/12/2023 13:09,TRUE,772.56,2C,TRUE,TRUE
13,44,26,05/12/2023 13:26,TRUE,1239.89,6B,TRUE,TRUE
14,14,9,26/12/2023 08:16,TRUE,178.62,11C,TRUE,TRUE
15,21,38,05/12/2023 13:04,TRUE,1221.62,1D,FALSE,TRUE
16,70,25,08/12/2023 07:52,FALSE,895.95,22A,FALSE,TRUE
17,70,2,24/12/2023 02:30,TRUE,276.35,25D,TRUE,FALSE
18,18,21,10/12/2023 08:04,FALSE,1229.76,16C,FALSE,TRUE
19,48,20,20/12/2023 06:34,TRUE,106.1,21C,TRUE,TRUE
20,61,8,05/12/2023 00:37,TRUE,448.27,7B,TRUE,FALSE
21,34,3,29/12/2023 21:18,FALSE,1434.99,23D,FALSE,TRUE
22,97,8,24/12/2023 23:17,FALSE,840.42,13D,FALSE,TRUE
23,8,34,29/12/2023 08:50,TRUE,1272.18,30C,TRUE,FALSE
24,50,33,13/12/2023 11:55,FALSE,251.53,21D,TRUE,TRUE
25,8,1,22/12/2023 23:21,TRUE,1464.35,26B,FALSE,FALSE
26,62,15,25/12/2023 14:33,TRUE,675.91,5D,FALSE,TRUE
27,64,17,14/12/2023 07:25,TRUE,1475.69,20C,TRUE,TRUE
28,91,20,28/12/2023 11:15,TRUE,1492.03,26B,TRUE,TRUE
29,51,6,10/12/2023 19:03,TRUE,169.73,7A,FALSE,TRUE
30,72,28,11/12/2023 08:55,TRUE,550.02,23A,TRUE,FALSE
31,30,22,11/12/2023 06:29,TRUE,732.1,20D,FALSE,TRUE
32,98,20,08/12/2023 21:27,FALSE,235.82,13D,FALSE,FALSE
33,73,3,15/12/2023 10:06,TRUE,1158.13,4A,FALSE,TRUE
34,39,25,15/12/2023 04:19,FALSE,963.19,15B,FALSE,TRUE
35,82,36,24/12/2023 03:32,FALSE,635.82,21A,FALSE,FALSE
36,99,21,14/12/2023 10:17,TRUE,500.43,14C,TRUE,TRUE
37,8,27,21/12/2023 02:23,TRUE,755.58,19D,TRUE,TRUE
38,66,16,05/12/2023 04:42,TRUE,294.71,9C,TRUE,TRUE
39,47,23,16/12/2023 08:54,TRUE,1498.9,8D,FALSE,FALSE
40,83,8,31/12/2023 16:13,TRUE,529.31,11A,FALSE,TRUE
