movie_id,customer_id
1,130
1,459
1,408
1,333
1,222
1,549
7,269
8,239
9,126
10,399
11,142
12,261
12,334
12,446
12,319
12,316
12,575
12,19
19,456
20,185
21,388
22,509
23,438
24,350
25,37
26,371
27,301
28,232
29,44
30,430
30,369
30,230
30,272
30,597
30,484
30,88
30,535
30,302
30,207
30,413
41,174
42,523
43,532
44,207
45,436
46,7
47,35
48,282
49,498
50,18
51,256
52,507
53,569
54,291
55,131
56,511
57,6
58,323
59,408
60,470
61,250
62,419
63,383
64,368
65,346
66,86
67,119
68,120
69,305
70,73
71,100
72,48
73,391
74,265
75,510
76,1
77,451
78,135
79,245
80,314
81,286
82,427
83,131
84,492
85,414
86,266
87,331
88,53
89,499
90,25
91,267
92,302
93,288
94,197
95,400
96,49
97,263
98,269
99,44
100,208
101,468
102,343
103,384
104,310
105,108
106,196
107,317
108,242
109,503
110,19
111,227
112,500
112,93
112,506
112,455
112,18
112,7
112,524
112,51
112,365
112,405
112,273
112,43
112,246
125,368
126,439
127,94
128,40
129,23
130,56
131,325
132,479
133,237
134,222
135,304
136,504
137,560
138,586
139,257
140,354
141,89
142,472
143,297
144,357
145,82
146,433
147,274
148,142
149,319
150,429
151,14
152,57
153,348
154,185
155,551
156,462
157,344
158,354
159,505
160,290
161,182
162,296
163,104
164,151
165,33
166,322
166,401
166,469
166,381
166,107
166,400
166,176
166,533
166,552
166,47
166,250
177,548
178,196
179,19
180,75
181,587
182,237
183,254
184,556
185,125
186,468
187,515
188,243
189,247
190,533
191,412
192,437
193,270
194,29
195,564
196,184
197,546
198,54
199,71
200,321
201,444
202,20
203,109
204,528
205,114
206,345
207,47
208,274
209,379
210,391
211,170
212,59
213,394
214,98
215,197
216,91
217,121
218,309
219,489
220,542
221,143
222,83
223,460
224,318
225,467
226,221
226,301
226,571
226,312
226,58
231,365
232,256
233,531
234,566
235,119
236,446
237,536
238,211
239,49
240,103
241,245
242,214
243,543
244,257
245,158
246,240
247,102
248,545
249,472
250,539
251,204
252,187
253,416
254,390
255,114
256,436
257,373
258,502
259,482
260,21
260,414
260,236
260,449
260,251
260,303
260,263
260,417
260,75
260,322
260,200
260,92
260,71
260,193
260,311
260,133
260,58
260,45
260,214
260,384
260,167
260,582
260,282
283,242
284,359
285,162
286,371
287,17
288,82
289,81
290,429
291,577
292,515
293,158
294,369
295,65
296,468
297,48
298,460
299,448
300,47
301,274
302,387
303,596
304,534
305,464
306,547
307,375
308,277
309,251
310,409
311,201
312,143
313,594
314,203
315,238
316,249
317,391
318,60
319,77
320,2
322,496
323,144
324,292
325,449
326,432
327,105
328,451
329,231
330,248
331,67
332,299
333,412
334,194
335,16
336,275
337,19
338,165
339,516
340,209
341,56
342,539
343,455
344,236
345,144
346,14
347,378
348,473
349,36
350,9
351,118
352,157
353,503
354,452
355,446
356,382
357,198
358,102
359,152
360,594
361,587
362,147
363,345
364,430
365,167
366,134
367,439
368,361
369,508
370,22
371,295
372,510
373,464
374,337
375,306
376,542
377,170
378,53
379,584
380,176
381,371
382,183
383,298
384,371
385,213
386,109
387,506
388,28
389,500
390,48
391,197
392,359
393,251
394,274
395,575
396,112
397,544
398,422
399,204
400,249
401,46
402,354
403,424
404,168
405,272
406,381
407,44
408,84
409,220
410,506
411,388
412,375
413,307
414,219
415,304
416,222
417,475
418,151
419,77
420,93
421,246
422,150
423,284
424,35
425,182
426,522
427,288
428,161
429,498
430,190
431,334
432,46
433,574
434,246
435,3
436,267
437,525
438,249
439,319
440,314
441,54
442,403
443,547
444,239
445,293
446,401
447,133
448,247
449,172
450,247
451,87
452,127
453,529
454,575
455,343
456,92
457,300
458,565
459,468
460,240
461,447
462,364
463,21
464,193
465,261
466,442
467,557
468,101
469,154
470,504
471,209
472,528
473,105
474,274
475,159
476,543
477,161
478,557
479,231
480,220
481,445
482,546
483,32
484,491
485,105
486,398
487,569
488,168
489,476
490,95
491,196
492,228
493,501
494,64
495,526
496,56
497,20
498,287
499,199
500,145
501,162
502,179
503,288
504,170
505,111
506,469
507,421
508,434
509,147
510,113
511,296
512,231
513,489
514,597
515,110
516,400
517,403
518,480
519,245
520,161
521,374
522,382
523,138
524,223
525,14
526,408
527,169
528,359
529,469
530,312
531,589
532,120
533,528
534,184
535,307
536,514
537,315
538,110
539,161
540,119
541,535
542,261
543,493
544,311
545,54
546,20
547,506
548,450
549,159
550,432
551,315
552,106
553,176
554,376
555,55
556,22
557,444
558,442
559,572
560,463
561,77
562,102
563,324
564,282
565,288
566,253
567,184
568,155
569,56
570,21
571,516
572,337
573,1
574,76
575,142
576,588
577,6
578,173
579,181
580,17
581,186
582,198
583,386
584,69
585,490
586,77
587,64
588,89
589,308
590,462
591,19
592,244
593,16
594,538
595,294
596,589
597,249
598,159
599,393
600,332
601,429
602,590
603,537
604,426
605,501
606,299
607,554
608,494
609,150
610,500
611,580
612,161
613,595
614,307
615,533
616,471
617,372
618,248
